sbjnum;date;upm1a;a4;soct2;idio2;np1;cp4a;cp6;cp7;cp8;cp13;colcp8a;colcp8b;colcp8c;it1;l1;prot3;jc10;jc13;jc15a;jc16a;vic1ext;aoj1;aoj21;aoj11;aoj12;colaoj21a;colaoj21b;wc1;wc1t;wc3;wc3t;wc2;wc2t;colwc8;colwc8t;colwc9;colwc9t;colwc4a;colwc4b;colwc4d;colwc4e;colwc4g;colwc4c;colwc4f;colwc4_88;colwc4_98;collt5;collt6;colpaz1a;colpaz6a;colpaz6c;b0;b1;b2;b3;b4;b6;b10a;b12;b13;b18;colb60n;b21;b21a;b31;b32;b37;b47a;b50;b20;b33;b17;colb61;b3polx;b20b;b15;colb67;b3milx;colpropaz1b;colrecon19b;colrecon19c;colrecon20b;colrecon20c;colpropaz1cn;colvb27a;colvb27b;colvb27c;colvb27d;colvb27e;colvb27f;colvb27g;colvb27h;m1;sd2new2;sd2expec;sd3new2;sd3expec;sd6new2;sd6expec;colsd8new2;infrax;ros1;ros4;redist1;redist2;redist3;ing4;eff1;eff2;pn4;colpropaz13c;colpropaz13j;colpact16a;colpropaz13k;colpropaz13m;colpact16b;colpact20;colpact11;colpact1;colpact17a;colpact18a;colpact10;colpact19;colpact17b;colpact18b;colind1a;colcamp1a;colafro1a;colwom2a;coldvw4;coldvw5;coldvw6;coldvw7;colprotmuj2;coldvw9;coldvw10;coldvw11_1;coldvw11_2;coldvw11_3;coldvw11_4;coldvw11_5;coldvw11_6;coldvw11_7;coldvw11_88;coldvw11_98;d1;d2;d3;d4;d5;d6;colespa2a;colideol4b;colideol4c;colideol4d;colideol4g;colrecon6;colrecon18;colrecon7n;coldis35f;exc2;exc6;exc11a;exc11;exc13a;exc13;exc14a;exc14;exc15a;exc15;exc16a;exc16;exc18;exc7;exc7new;inf1;vb2;vb3n;vb2v;vb3n2;vb10;vb11;pol1;vb20;clien1na;vb50;vb51;vb52;vb58;w14a;mil10a;mil10e;dis13n;dis12n;coldis18n;dis11n;dis12xn;coldis17n;coldislugar;wf1;cct1b;ed;q3cn;q5b;colocup4a;ocupoit;ocup1a;formal;q10g;q10new;q14;q10e;q11n;q12c;q12bn;q12;etid;gi0n;www1n;smedia1;smedia2;smedia3;smedia4;smedia5;smedia6;smedia7;smedia8;smedia9;gi1;gix4;gi4;colgi8;r3;r4;r4a;r5;r6;r7;r8;r12;r14;r15;r18;r1;r16;formatq;colorr;conocim;iarea1;iarea2;iarea3;sexi;colori;colestsoc_col;q1;q2;country;estratopri;municipio;prov_code;upm;ur;year;municipio_desc;estratosec;tamano;q_38;q_54;q_58;q_67;q_86;q_110;q_125;q_162;q_197;q_208;q_221;q_227;q_271;q_316;q_320;aoj21_answer_order;colaoj21a_answer_order;colaoj21b_answer_order;b20b_b15_colb67_order;colvb27_questions_order;redist_questions_order;colpropaz13c_j_order;colpropaz13k_m_order;s_236_7;duration;wt 
74992620;28-Sep-18;62;13;3;1;2;2;2;4;4;4;4;.c;.c;3;9;2;.c;1;.c;1;2;.c;9;2;1;3;.c;1;2;2;.c;1;2;2;.c;1;2;2;2;2;1;2;2;2;2;2;2;.c;2;.c;2;2;5;6;6;7;6;7;7;6;6;1;5;6;5;7;7;4;6;7;5;4;1;4;.c;.c;.c;.c;1;7;7;.c;.c;1;7;5;4;1;5;3;1;3;2;2;.c;2;3;4;.c;2;2;4;5;7;6;6;7;6;5;2;.c;.c;.c;1;5;2;1;.c;.c;.c;.c;7;7;6;6;.c;.c;7;2;7;2;7;.c;.c;.c;1;0;0;0;0;0;0;1;0;0;4;1;4;3;1;1;1;1;1;2;3;1;1;1;1;0;0;0;.c;0;.c;0;.c;1;0;0;.c;0;1;.c;1;1;801;1;801;1;801;2;2;2;2;1;2;3;1;2;.c;.c;.c;.c;2;2;2;.c;2;2;5;1;1;5;.c;.c;.c;.c;15;2;3;6;3;0;5;2;1;5;2;.c;.c;2;.c;.c;2;.c;.c;.a;.a;1;50;1;0;1;0;0;1;1;1;1;0;0;1;0;4;2;3;1;2;4;2;4;4;1;90;8;814;850001;50;50001;1;2018;171;1;3;1;2;2;1;2;1;1;1;2;2;2;1;1;1;2;29;348;.c;.c;64;3;.c;1;559;1060;0,666666687
74992703;28-Sep-18;54;5;2;2;2;2;4;4;3;4;4;.c;.c;2;6;2;2;.c;2;.c;2;.c;6;2;3;3;.c;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;.c;1;2;4;3;4;3;5;5;7;3;3;2;2;6;4;3;3;3;2;.c;.c;.c;.c;.c;1;2;3;7;7;1;3;.c;.c;7;1;6;5;3;1;1;2;2;2;2;3;2;.c;2;.c;2;1;5;4;5;4;5;4;4;3;4;.c;.c;.c;3;2;4;5;.c;.c;.c;.c;4;3;4;3;.c;.c;5;2;.c;.c;.c;5;3;5;1;0;0;0;0;0;0;0;1;0;6;4;4;3;5;2;1;1;1;1;1;3;4;5;0;0;0;0;.c;1;0;0;.c;1;0;0;.c;0;.c;5;1;2;.c;1;801;2;.c;4;4;2;3;1;2;3;1;.c;3;2;2;2;.c;.c;.c;.c;2;2;3;1;1;1;7;4;2;4;11;2;2;3;8;1;4;1;2;1;1;1;1;2;.c;.c;1;2;2;1;1;1;5;1;0;1;0;1;0;1;1;0;0;0;1;1;4;3;2;1;2;2;2;3;2;1;36;8;811;870670;70;70670;1;2018;211;2;4;1;1;1;1;2;2;1;3;2;2;2;2;2;2;1;468;637;.c;3;1035;1;.c;1;1;633;1
74992892;28-Sep-18;32;17;2;3;2;1;2;4;4;4;.c;4;4;1;7;2;1;.c;2;.c;2;.c;9;2;1;1;.c;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;2;2;.c;7;5;7;4;2;1;1;1;2;1;1;2;3;1;1;7;1;3;.c;.c;.c;.c;.c;7;2;1;7;1;.c;.c;2;3;7;1;1;1;1;1;1;7;1;3;3;.c;3;.c;3;3;3;5;7;7;7;7;1;3;7;5;3;3;5;2;.c;.c;.c;7;.c;.c;.c;.c;7;7;3;1;.c;.c;7;6;7;1;5;.c;.c;.c;1;0;0;1;0;0;0;0;0;0;3;10;9;10;7;7;1;5;.a;10;10;3;1;2;1;1;0;0;.c;1;0;0;.c;0;.c;0;.c;0;.c;4;1;1;801;1;801;1;821;3;4;2;4;3;3;3;2;.c;4;2;2;2;.c;.c;.c;.c;2;2;11;77;1;1;6;2;2;6;11;2;2;1;3;0;0;4;4;3;1;3;4;2;.c;.c;1;3;4;1;.a;1;.a;1;0;1;0;1;0;1;1;1;0;0;1;0;4;6;3;1;1;1;1;5;1;1;20;8;815;876275;76;76275;2;2018;237;3;1;2;1;1;1;1;2;2;2;1;2;2;1;2;2;1;1297;758;.c;3;693;2;2;.c;1;833;1
74993119;28-Sep-18;32;70;3;3;2;2;4;3;4;3;.c;4;4;1;8;2;1;.c;.c;2;1;2;6;3;2;3;.c;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;2;1;.c;7;3;4;2;3;2;3;5;4;1;1;2;5;2;2;5;4;2;6;4;4;1;2;.c;.c;.c;.c;1;7;7;.c;.c;4;3;4;1;1;1;5;4;2;2;3;.c;3;3;3;.c;4;5;3;6;7;1;2;7;1;4;3;.c;.c;.c;1;2;2;4;1;1;1;1;.c;.c;.c;.c;5;6;.c;1;.c;.c;.c;7;7;5;1;0;0;1;0;0;0;1;0;0;10;10;10;10;9;4;1;8;.a;6;5;4;6;5;1;1;0;0;.c;1;0;0;.c;0;.c;1;0;0;1;.c;1;1;803;1;801;2;.c;4;3;2;3;1;2;2;2;.a;.c;.c;.c;.c;1;2;2;3;2;1;3;1;3;1;6;2;1;8;8;2;2;3;3;1;2;5;1;5;1;2;2;2;.c;.c;1;2;5;1;.a;1;.a;1;0;1;0;0;0;1;1;1;0;0;1;0;4;7;3;2;2;3;2;2;1;1;34;8;815;876275;76;76275;2;2018;237;3;1;2;1;2;1;1;1;1;1;2;1;1;2;1;1;2;3;791;.c;.c;1068;5;.c;2;343;777;1
74994872;28-Sep-18;62;13;2;2;2;2;4;2;3;4;3;.c;.c;.a;8;2;.c;2;.c;2;2;.c;10;3;4;.c;11;2;.c;2;.c;1;2;2;.c;2;.c;1;2;2;2;2;2;2;2;2;2;.c;3;.c;1;4;3;6;4;4;5;3;4;3;2;1;1;4;4;3;2;6;4;.c;.c;.c;.c;.c;1;4;2;3;5;.c;.c;5;2;5;1;1;1;1;1;1;1;1;2;3;.c;3;.c;3;3;3;2;2;3;3;4;5;7;3;3;2;.c;.c;.c;3;2;3;4;6;2;5;3;.c;.c;.c;.c;.c;.c;4;7;.c;.c;.c;5;6;2;.a;0;0;0;1;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;1;0;0;.c;1;0;0;.c;0;.c;1;0;1;1;.c;1;1;803;1;899;2;.c;4;4;2;3;3;2;3;1;.c;1;.c;.c;.c;2;2;2;.c;2;2;18;4;4;1;2;2;1;16;16;1;2;1;4;0;1;2;1;1;1;1;1;1;5;.c;1;1;3;1;1;1;8;1;0;1;2;1;0;0;1;1;1;1;1;1;4;1;2;1;1;1;2;3;4;1;45;8;814;850001;50;50001;1;2018;171;1;3;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;1245;.c;791;4;868;3;.c;2;1;1184;0,800000012
74995532;28-Sep-18;51;22;3;3;2;2;1;4;4;4;.c;4;3;1;2;2;.c;1;1;.c;2;.c;4;2;1;.c;3;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;2;.c;1;4;2;2;2;2;2;2;4;2;4;1;1;1;2;4;5;1;1;.c;.c;.c;.c;.c;1;1;5;4;2;6;7;.c;.c;4;2;2;4;3;2;2;1;1;4;3;.c;3;.c;3;3;2;2;3;4;7;2;3;2;1;4;3;.c;.c;.c;4;3;1;3;2;1;2;1;.c;.c;.c;.c;6;6;.c;5;.c;.c;.c;3;7;4;3;0;0;0;1;0;0;0;0;0;6;8;5;5;9;4;1;9;1;9;10;6;7;8;0;0;0;0;.c;0;.c;0;.c;1;0;0;.c;0;.c;4;1;1;802;1;802;2;.c;3;3;2;4;3;3;2;2;.c;.a;.c;.c;.c;2;2;2;.c;2;2;11;1;1;5;.c;.c;.c;.c;5;2;2;6;2;0;2;2;1;1;2;.c;.c;2;.c;.c;1;1;3;1;2;1;.a;1;0;1;0;1;0;1;1;1;0;1;1;1;4;4;3;2;2;3;2;5;2;2;50;8;815;819001;19;19001;1;2018;119;1;3;2;2;1;2;2;2;1;2;2;1;1;2;2;2;2;1604;.c;297;4;448;6;.c;2;1;577;1
74995947;28-Sep-18;51;12;2;2;2;2;4;4;4;4;.c;4;4;1;8;2;.c;2;2;.c;2;.c;2;2;4;3;.c;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;1;.c;4;3;1;1;5;5;1;7;1;6;1;1;6;1;1;5;3;1;7;2;2;1;5;.c;.c;.c;.c;1;1;3;.c;.c;1;1;4;1;1;1;1;1;1;2;3;3;2;.c;3;.c;2;3;4;6;7;7;6;6;5;6;3;.c;.c;.c;5;5;3;7;5;6;5;6;.c;.c;.c;.c;.c;.c;4;6;.c;.c;.c;6;7;4;4;0;0;0;0;0;0;1;0;0;6;5;1;1;5;4;6;6;7;10;7;5;6;6;0;0;0;0;.c;0;.c;0;.c;1;0;0;.c;0;.c;4;1;1;801;1;801;2;.c;4;4;2;3;3;3;1;2;.c;.a;.c;.c;.c;2;2;2;.c;2;2;11;1;1;7;.c;.c;.c;11;11;2;2;2;4;1;1;1;1;1;1;1;5;2;.c;.c;1;1;5;1;1;1;5;1;1;1;0;1;1;1;1;1;1;1;1;0;4;4;2;2;2;4;2;3;2;1;54;8;815;819001;19;19001;1;2018;119;1;3;2;2;1;1;1;1;1;3;2;1;2;2;2;2;2;610;456;.c;.c;76;5;.c;1;258;347;1
74996430;28-Sep-18;62;1;3;3;2;1;4;2;4;4;.c;4;4;2;3;2;1;.c;2;.c;1;2;4;2;4;5;.c;1;2;2;.c;1;2;1;2;1;2;1;2;2;2;2;2;2;2;2;1;1;.b;.c;1;4;3;5;3;3;3;1;4;4;2;1;2;4;3;5;5;2;2;.c;.c;.c;.c;.c;6;5;4;4;3;7;7;.c;.c;6;1;1;1;1;1;3;6;7;3;3;.c;2;2;4;.c;4;3;3;3;7;7;6;1;3;6;4;.c;.c;.c;2;5;1;6;.c;.c;.c;.c;6;6;2;1;3;7;.c;7;.c;.c;.c;2;1;1;1;0;0;0;0;0;0;1;0;0;6;7;6;5;9;1;2;1;1;1;1;4;6;6;0;0;0;1;0;0;.c;0;.c;1;0;0;.c;0;1;.c;1;1;803;2;.c;1;877;2;1;2;4;1;3;4;2;1;.c;.c;.c;.c;2;2;2;.c;1;1;11;2;1;3;.c;.c;.c;.c;1;1;3;1;6;2;0;2;1;1;1;2;2;2;.c;.c;1;1;5;1;1;1;.b;1;0;1;0;1;0;0;1;1;1;0;1;0;4;2;1;1;4;4;2;4;4;2;27;8;814;850001;50;50001;1;2018;171;1;3;2;1;1;1;2;2;1;1;2;2;1;2;1;1;2;1158;666;.c;2;227;2;.c;2;811;889;0,800000012
74999128;28-Sep-18;51;3;2;2;2;2;4;3;4;4;4;.c;.c;2;5;2;2;.c;.c;2;2;.c;6;2;2;.c;9;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;.c;2;3;3;3;3;3;4;3;4;3;3;1;2;6;3;3;4;4;4;4;3;3;1;4;.c;.c;.c;.c;3;.c;.c;5;5;4;2;2;2;2;2;2;2;1;3;4;.c;3;3;4;.c;3;2;3;4;4;4;3;4;4;4;3;4;4;4;.c;.c;.c;5;3;2;3;2;.c;.c;.c;.c;.c;.c;4;3;.c;.c;.c;4;4;2;3;0;0;1;0;0;0;0;0;0;5;6;4;5;5;2;3;3;7;7;7;1;4;4;0;0;0;0;.c;1;0;0;.c;0;.c;1;0;0;1;.c;1;2;.c;2;.c;2;.c;4;1;2;2;3;3;2;1;.a;.c;2;2;2;.c;.c;.c;.c;2;2;11;1;3;2;9;2;2;9;13;2;2;1;4;2;1;2;2;1;1;2;2;2;.c;.c;1;1;5;1;1;1;.a;1;0;1;1;0;0;0;1;1;1;1;1;1;4;4;3;1;1;2;2;4;3;1;27;8;815;819001;19;19001;1;2018;119;1;3;1;1;2;2;2;1;2;1;1;1;2;2;1;1;1;417;.c;337;.c;80;2;2;.c;1;560;1
75000475;28-Sep-18;54;27;3;1;2;1;4;4;4;3;.c;2;.b;1;10;1;.c;2;2;.c;2;.c;10;1;4;.c;3;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;.c;2;6;4;5;5;7;7;5;6;4;7;2;6;7;2;2;6;7;3;.c;.c;.c;.c;.c;2;7;1;5;2;.c;.c;3;7;7;5;6;4;2;5;5;3;4;2;1;.c;3;3;4;.c;4;2;7;3;6;7;7;7;7;4;2;.c;.c;.c;4;6;3;7;6;2;2;2;.c;.c;.c;.c;4;7;.c;7;6;4;7;.c;.c;.c;4;0;0;0;0;0;0;1;0;0;7;7;2;4;10;1;4;4;10;5;10;8;8;8;0;0;0;1;0;1;0;0;.c;1;0;0;.c;0;1;.c;1;1;801;1;801;1;829;4;1;2;3;1;2;2;1;.a;.c;2;2;1;.c;.c;.c;3;1;2;9;1;1;1;5;4;2;2;13;2;2;3;4;1;2;2;1;1;2;.c;.c;2;.c;.c;2;.c;.c;1;1;1;8;1;1;1;0;1;1;1;1;1;1;1;1;1;4;2;2;2;2;2;2;3;2;1;72;8;811;870670;70;70670;1;2018;212;2;4;2;2;1;2;2;2;2;1;2;1;1;1;1;1;1;116;.c;566;6;1536;4;.c;2;786;1086;0,800000012
75001917;28-Sep-18;62;27;3;3;2;1;2;2;4;3;3;.c;.c;3;9;2;1;.c;.c;2;2;.c;6;4;1;.c;1;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;.c;1;3;2;5;2;2;2;4;1;3;1;1;1;1;2;1;2;1;1;7;2;1;1;1;.c;.c;.c;.c;1;7;7;.c;.c;6;7;.a;.a;.a;.a;.a;.a;.a;2;1;.c;1;.c;3;3;2;5;4;7;7;1;7;7;2;3;4;.c;.c;.c;7;7;5;7;.c;.c;.c;.c;7;7;7;7;.c;.c;7;1;.c;.c;.c;7;7;3;1;0;0;0;0;0;0;1;0;0;.a;.a;.a;1;5;.a;.a;1;.a;5;.a;1;1;1;0;0;0;0;.c;1;0;0;.c;0;.c;1;0;0;.c;5;1;1;.b;1;.b;2;.c;2;4;2;4;3;3;2;2;.c;.a;.c;.c;.c;2;2;2;.c;2;2;7;1;1;3;.c;.c;.c;.c;3;2;2;3;5;3;4;1;1;2;1;2;5;2;.c;.c;1;2;5;.a;.a;2;.a;1;0;1;0;1;0;0;1;1;0;0;1;1;4;2;3;2;3;4;2;4;4;2;36;8;814;850001;50;50001;1;2018;171;1;3;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;601;.c;421;.c;167;3;.c;2;361;434;0,800000012
75004435;28-Sep-18;51;5;2;2;2;2;2;4;3;4;3;.c;.c;3;.b;2;.c;.a;.c;.a;2;.c;.b;4;3;5;.c;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;.a;.c;3;.a;.a;.a;.b;.b;.a;4;.a;4;.a;.b;.b;.b;.b;.b;.a;.a;5;.b;4;.b;.a;.c;.c;.c;.c;.b;.a;.b;.c;.c;.b;.b;.b;.b;.b;.a;.b;.b;.b;.b;3;.c;.b;.c;.a;3;2;.a;.b;.b;.a;.a;.b;.b;.a;.a;.a;.c;.c;.c;.b;.b;.a;.a;.b;.b;.b;.a;.c;.c;.c;.c;.a;.a;.c;.a;7;.a;1;.c;.c;.c;.a;0;0;0;0;0;0;0;1;0;.a;.a;.a;.b;9;8;.b;10;5;10;8;.b;.a;.a;.a;0;0;0;.c;1;0;0;.c;0;.c;0;.c;0;.a;.c;1;1;803;1;899;2;.c;.a;3;2;.b;.b;.a;.a;.a;.c;.a;.c;.c;.c;2;2;2;.c;2;2;12;1;2;1;3;4;2;2;.a;.a;.a;1;7;2;0;4;2;1;1;2;5;2;.c;.c;1;1;5;1;1;1;.a;.b;.b;.b;.b;.b;.b;.b;1;0;.b;.b;.b;.c;4;7;3;2;2;4;2;3;2;2;35;8;815;819001;19;19001;1;2018;119;1;3;1;2;2;1;1;1;1;2;2;1;1;1;1;2;2;486;382;.c;.c;510;6;.c;2;1;362;1
75004574;28-Sep-18;54;13;3;2;2;1;4;3;3;4;.c;4;3;1;4;2;2;.c;2;.c;1;2;6;2;4;.c;1;2;.c;2;.c;1;2;2;.c;1;2;2;2;2;2;2;2;2;1;2;2;.c;1;.c;1;4;1;1;1;2;1;1;3;3;2;1;1;1;1;3;1;1;2;4;2;2;1;1;.c;.c;.c;.c;4;.c;.c;7;7;5;1;1;1;5;1;1;.a;.a;.a;2;.c;2;3;4;.c;2;2;1;7;7;1;7;7;1;6;3;5;5;5;.c;.c;.c;.b;.c;.c;.c;.c;7;.b;2;1;.c;.c;.b;5;6;2;1;.c;.c;.c;1;0;0;0;1;1;0;0;0;0;9;10;10;9;10;9;1;9;9;9;4;3;8;8;0;0;0;0;.c;1;0;0;.c;0;.c;0;.c;0;1;.c;1;1;899;1;899;2;.c;3;3;2;3;3;3;3;1;.c;.a;1;2;2;.c;.c;.c;1;1;2;18;1;1;1;2;1;1;11;11;2;2;1;3;0;0;.a;2;1;1;2;2;2;.c;.c;1;2;3;1;1;1;.a;1;0;1;0;0;0;0;1;1;1;1;0;.c;4;4;1;1;1;1;1;4;2;2;51;8;811;870670;70;70670;1;2018;211;2;4;2;1;1;2;2;1;2;1;1;2;2;1;1;2;1;569;.c;79;.c;1371;3;2;.c;1;1150;1
75006312;28-Sep-18;54;13;3;1;2;2;4;4;4;3;4;.c;.c;1;10;2;.c;2;.c;2;2;.c;10;1;3;.c;3;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;2;.c;6;5;4;3;6;6;4;6;4;6;2;4;7;3;2;5;6;3;6;2;5;3;5;.c;.c;.c;.c;4;.c;.c;6;7;6;4;6;5;2;4;4;6;5;1;2;2;3;.c;4;.c;3;2;7;7;7;7;6;7;6;4;1;.c;.c;.c;3;6;3;7;6;3;4;3;.c;.c;.c;.c;.c;.c;4;5;6;5;3;.c;.c;.c;3;0;0;0;0;0;0;1;0;0;6;4;3;3;6;2;4;6;7;2;6;5;6;6;0;0;0;1;0;1;0;0;.c;1;0;0;.c;0;.c;4;1;1;801;1;801;1;829;4;4;2;3;1;2;3;1;.c;1;.c;.c;.c;2;2;2;.c;1;1;9;1;1;1;5;4;2;2;12;2;1;3;4;1;2;2;1;1;2;.c;.c;2;.c;.c;2;.c;.c;1;1;1;8;1;1;1;0;1;1;1;1;1;1;1;1;1;4;2;2;3;3;2;2;3;2;1;72;8;811;870670;70;70670;1;2018;211;2;4;1;2;2;2;1;1;2;3;2;1;2;1;2;2;2;985;.c;187;.c;1503;4;.c;1;786;493;0,800000012
75008782;28-Sep-18;51;12;3;2;2;2;4;4;4;4;4;.c;.c;1;5;2;.c;1;2;.c;2;.c;4;1;4;.c;3;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;2;1;.c;4;3;3;3;2;3;3;5;2;4;1;2;2;3;2;3;5;3;1;3;4;1;4;.c;.c;.c;.c;5;6;6;.c;.c;4;2;2;2;4;1;2;6;6;3;2;3;3;.c;3;.c;2;2;1;7;6;3;5;6;2;6;3;2;5;2;.c;.c;.c;5;.c;.c;.c;.c;7;7;4;3;.c;.c;2;5;6;3;2;.c;.c;.c;3;0;0;0;0;0;0;1;0;0;9;9;9;9;9;8;9;8;9;9;10;10;10;10;0;0;0;1;0;1;0;0;.c;1;0;0;.c;0;1;.c;1;1;803;1;802;1;821;1;3;2;3;3;3;2;1;1;.c;2;2;2;.c;.c;.c;.c;2;2;16;4;4;1;7;4;2;12;15;1;2;3;4;0;0;2;1;1;1;1;5;2;.c;.c;1;1;2;1;1;1;.a;1;0;1;0;1;1;0;1;1;1;1;1;1;4;4;1;1;2;3;2;5;2;1;45;8;815;819001;19;19001;1;2018;119;1;3;1;2;1;2;1;1;1;3;1;2;2;1;1;1;1;69;.c;808;.c;250;5;1;.c;85;418;1
75011020;28-Sep-18;51;13;1;1;2;2;4;2;4;4;4;.c;.c;1;7;2;2;.c;2;.c;2;.c;9;3;1;.c;9;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;.c;1;7;5;3;7;5;7;5;4;6;7;2;2;1;7;1;5;6;4;.c;.c;.c;.c;.c;2;1;7;1;7;.c;.c;2;5;7;7;7;1;5;4;2;6;1;2;2;2;2;.c;4;.c;4;2;1;4;7;7;7;4;7;6;4;.c;.c;.c;4;7;6;6;.c;.c;.c;.c;7;7;1;7;.c;.c;5;7;.c;.c;.c;6;7;7;1;0;0;0;0;0;0;1;0;0;1;4;10;9;10;10;1;7;5;7;9;1;1;4;0;0;0;0;.c;1;0;0;.c;0;.c;0;.c;0;.c;4;1;2;.c;2;.c;2;.c;4;3;2;3;3;2;3;1;1;.c;2;2;1;.c;.c;.c;1;2;2;7;1;1;1;9;4;2;4;4;2;1;3;2;0;4;7;5;5;2;.c;.c;2;.c;.c;2;.c;.c;.a;.a;.a;.a;1;0;1;0;0;1;0;1;1;0;1;1;0;4;6;4;1;2;3;2;4;3;2;28;8;815;819001;19;19001;1;2018;119;1;3;1;1;1;2;2;2;2;3;2;2;2;2;2;1;1;1439;.c;776;1;316;3;.c;2;678;665;1
75021471;28-Sep-18;62;27;3;2;2;2;1;4;4;4;4;.c;.c;1;10;2;.c;1;.c;1;2;.c;9;1;1;3;.c;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;.c;1;6;3;7;3;3;1;1;7;1;5;1;1;2;1;3;2;1;1;.c;.c;.c;.c;.c;1;2;5;5;6;.c;.c;6;7;7;2;1;1;1;1;1;1;1;3;3;.c;2;3;2;.c;3;2;5;7;7;6;7;6;7;7;3;.c;.c;.c;3;7;5;5;.c;.c;.c;.c;7;7;7;4;1;4;.c;1;7;7;7;.c;.c;.c;3;0;0;1;0;0;0;0;0;0;9;10;9;6;1;1;5;1;10;10;10;1;10;10;0;0;0;0;.c;0;.c;0;.c;1;0;0;.c;0;.c;5;1;1;803;1;802;2;.c;4;1;2;2;3;2;2;1;3;.c;.c;.c;.c;2;2;2;.c;2;2;17;1;1;7;.c;.c;.c;14;14;2;2;5;1;0;3;1;1;1;1;1;4;1;3;5;1;1;5;.b;1;1;.a;1;0;1;0;1;1;0;1;1;1;1;1;1;4;3;1;1;1;1;2;3;4;1;72;8;814;850001;50;50001;1;2018;171;1;3;1;2;2;1;2;2;2;1;2;2;1;1;2;1;2;1173;176;.c;5;1539;6;.c;1;1;369;0,666666687
75021472;28-Sep-18;62;13;3;2;2;1;4;4;4;4;.c;4;2;3;7;2;2;.c;.c;2;2;.c;4;3;4;.c;3;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;3;.c;2;4;4;5;4;5;5;4;5;4;6;1;3;4;4;3;3;4;4;4;3;5;1;6;.c;.c;.c;.c;3;4;5;.c;.c;5;3;5;3;3;4;3;4;3;2;3;.c;3;.c;4;3;3;2;4;5;5;4;5;5;4;5;2;5;5;4;.c;.c;.c;6;3;2;4;5;.c;.c;.c;.c;4;5;.c;5;6;5;3;.c;.c;.c;3;0;0;0;0;0;0;1;0;0;6;7;4;5;5;6;3;5;6;7;7;5;5;7;1;0;0;0;.c;0;.c;0;.c;1;0;0;.c;0;1;.c;1;1;801;2;.c;2;.c;3;2;2;2;1;3;2;1;.c;2;.c;.c;.c;2;2;2;.c;2;2;11;1;1;3;.c;.c;.c;.c;5;2;2;1;4;1;0;2;2;1;1;1;2;2;.c;.c;1;1;2;1;1;1;.a;1;1;1;0;1;0;1;1;1;1;1;1;1;4;6;2;1;1;1;2;3;4;1;20;8;814;850001;50;50001;1;2018;174;1;3;2;1;2;2;2;1;1;2;1;1;1;1;1;2;2;1229;.c;6;.c;6;5;2;.c;672;168;0,800000012
